"Subj" "cond" "run" "rew" "cue" "acc_diff" "rt_diff"
2 3 4 2 1 7.5 95.1428571428571
3 3 4 2 1 5.55555555555556 -296.044117647059
4 3 4 2 1 0 -212.25
6 3 4 2 1 4.16666666666666 -222.157608695652
7 3 4 2 1 4.16666666666666 -237.527173913043
8 3 4 2 1 4.16666666666666 -371.320652173913
9 3 4 2 1 4.16666666666666 -208.342391304348
11 3 4 2 1 20.8333333333333 -193.098684210526
13 3 4 2 1 -4.16666666666666 49.421052631579
14 3 4 2 1 16.6666666666667 -301.05
15 3 4 2 1 16.6666666666667 -299.775
17 3 4 2 1 45.8333333333333 -185.442307692308
18 3 4 2 1 0 -68.5833333333334
20 3 4 2 1 37.5 121.597402597403
21 3 4 2 1 21.7391304347826 -319.958333333333
24 3 4 2 1 0 -132.625
26 3 4 2 1 21.7391304347826 -333.986111111111
27 3 4 2 1 4.16666666666666 -105.347826086957
28 3 4 2 1 4.16666666666666 -143.440217391304
29 3 4 2 1 0 -134.625
30 3 4 2 1 12.5 48.2916666666666
31 3 4 2 1 0 -153.916666666667
32 3 4 2 1 27.2727272727273 39.4375
33 3 4 2 1 4.16666666666666 33.1195652173913
34 3 4 2 1 16.6666666666667 -155.3
35 3 4 2 1 -20.1086956521739 -120.568421052632
36 3 4 2 1 8.33333333333334 -124.227272727273
37 3 4 2 1 29.1666666666667 -88.1029411764705
0 4 1 2 2 8.33333333333334 44.0227272727273
1 4 1 2 2 0 -93.7916666666667
2 4 1 2 2 -10 -92
3 4 1 2 2 12.5 -139.892857142857
4 4 1 2 2 0 -79.625
6 4 1 2 2 -16.6666666666667 -164
7 4 1 2 2 -4.28571428571429 -50.6666666666667
8 4 1 2 2 0 -49.5416666666667
9 4 1 2 2 0 42.75
11 4 1 2 2 25 -186.541666666667
13 4 1 2 2 -16.6666666666667 -68.2121212121212
14 4 1 2 2 12.5 -162.015873015873
15 4 1 2 2 8.33333333333334 -89.75
17 4 1 2 2 8.33333333333334 -8
18 4 1 2 2 8.33333333333334 9.55681818181824
20 4 1 2 2 -14.5454545454545 48.3333333333333
21 4 1 2 2 8.33333333333334 -173.625
24 4 1 2 2 12.5 -13.4761904761904
26 4 1 2 2 14.7727272727273 -54.3571428571429
27 4 1 2 2 0 -53.875
28 4 1 2 2 8.33333333333334 62.1931818181819
29 4 1 2 2 0 -89.8333333333333
30 4 1 2 2 8.33333333333334 64.4772727272727
31 4 1 2 2 0 -130
32 4 1 2 2 -4.16666666666666 88.2857142857142
33 4 1 2 2 16.6666666666667 -29.9749999999999
