"Subj"	"run"	"cond"	"rew"	"cue"	"group"	"sex"	"acc_diff"	"rt_diff"
41	2	1	1	2	1	2	26.6666666666667	-140.693181818182
43	2	1	1	2	0	2	0	-113.125
44	2	1	1	2	1	2	0	-336
45	2	1	1	2	0	1	0	-88.4375
46	2	1	1	2	1	1	6.25	-260.791208791209
47	2	1	1	2	0	2	25	-63.5833333333333
48	2	1	1	2	0	2	35.7142857142857	-122.875
49	2	1	1	2	0	1	18.75	-306.875
50	2	1	1	2	0	2	8.33333333333334	-198.5
51	2	1	1	2	0	1	12.5	-357.142857142857
60	2	1	1	2	0	1	0	-254.5
61	2	1	1	2	1	1	33.3333333333333	-133.65
62	2	1	1	2	0	1	33.3333333333333	-120.15
63	2	1	1	2	1	1	0	-56.6483516483518
64	2	1	1	2	0	1	43.75	-3.88888888888891
65	2	1	1	2	1	2	-25	-245.8125
66	2	1	1	2	1	1	31.25	-157.806818181818
67	2	1	1	2	0	2	18.75	-144.884615384615
68	2	1	1	2	0	2	6.25	-95.1648351648353
70	2	1	1	2	0	2	13.3333333333333	-246.086538461539
71	2	1	1	2	0	2	18.75	18.2
72	2	1	1	2	1	2	12.5	-132.910714285714
73	2	1	1	2	0	2	37.5	59.875
74	2	1	1	2	1	2	4.76190476190477	-1.90000000000009
75	2	1	1	2	0	1	37.5	-8.77500000000009
77	2	1	1	2	1	2	7.5	-258.547619047619
78	2	1	1	2	1	2	31.25	-54.4285714285713
79	2	1	1	2	1	1	6.66666666666667	-30.0535714285713
81	2	1	1	2	0	1	0	-196.575
2	3	1	1	2	1	2	0	-154.285714285714
4	3	1	1	2	1	2	6.25	-216.2
5	3	1	1	2	1	2	20	-196.75
6	3	1	1	2	1	2	0	-216.375
7	3	1	1	2	1	2	7.14285714285714	-43.3269230769231
11	3	1	1	2	0	2	12.5	-338.392857142857
12	3	1	1	2	1	1	25	-181.541666666667
13	3	1	1	2	1	2	0	-45.3571428571429
15	3	1	1	2	0	2	15	73.6666666666667
16	3	1	1	2	1	2	6.25	-251.125
18	3	1	1	2	0	2	31.25	-168.670454545455
21	3	1	1	2	1	2	12.5	-86.6666666666667
23	3	1	1	2	0	1	16.6666666666667	78.5999999999999
24	3	1	1	2	1	2	6.25	-94.4166666666667
25	3	1	1	2	0	2	12.5	-244.285714285714
27	3	1	1	2	1	2	6.25	-156.375
29	3	1	1	2	0	1	0	-259.0625
30	3	1	1	2	0	2	25	-34.4583333333333
33	3	1	1	2	1	1	12.5	-228.839285714286
35	3	1	1	2	0	2	30.7692307692308	-136.402777777778
38	3	1	1	2	1	1	0	-36.4375
40	3	1	1	2	1	1	6.25	-167.241666666667
41	3	1	1	2	1	2	14.1666666666667	-120.961038961039
43	3	1	1	2	0	2	0	-161.75
44	3	1	1	2	1	2	0	-325.875
45	3	1	1	2	0	1	0	-149.1875
46	3	1	1	2	1	1	18.75	-287.701923076923
47	3	1	1	2	0	2	25	-130.297619047619
48	3	1	1	2	0	2	37.5	-69.375
49	3	1	1	2	0	1	18.75	-219.875
50	3	1	1	2	0	2	33.3333333333333	-319.625
51	3	1	1	2	0	1	12.5	-466.017857142857
60	3	1	1	2	0	1	0	-164.75
61	3	1	1	2	1	1	20.8333333333333	-268.257142857143
62	3	1	1	2	0	1	33.3333333333333	-244.15
63	3	1	1	2	1	1	0	-60.5769230769231
64	3	1	1	2	0	1	43.75	-228.263888888889
65	3	1	1	2	1	2	0	-373.3125
66	3	1	1	2	1	1	31.25	-232.681818181818
67	3	1	1	2	0	2	18.75	-108.759615384615
68	3	1	1	2	0	2	18.75	-325.807692307692
70	3	1	1	2	0	2	13.3333333333333	-402.961538461539
71	3	1	1	2	0	2	-6.25	-81.6666666666667
72	3	1	1	2	1	2	12.5	-263.035714285714
73	3	1	1	2	0	2	50	-103.25
74	3	1	1	2	1	2	8.33333333333334	95.1333333333332
75	3	1	1	2	0	1	37.5	54.5999999999999
77	3	1	1	2	1	2	20	-271.208333333333
78	3	1	1	2	1	2	31.25	-216.428571428571
79	3	1	1	2	1	1	-5.83333333333333	-128.357142857143
81	3	1	1	2	0	1	0	-203.825
2	4	1	1	2	1	2	12.5	-125.446428571429
4	4	1	1	2	1	2	6.25	-212.7
5	4	1	1	2	1	2	-5	-214.166666666667
6	4	1	1	2	1	2	0	-152.375
7	4	1	1	2	1	2	7.14285714285714	-162.576923076923
11	4	1	1	2	0	2	12.5	-310.892857142857
12	4	1	1	2	1	1	25	16.0833333333333
13	4	1	1	2	1	2	12.5	-19.2142857142858
15	4	1	1	2	0	2	27.5	59.0952380952381
16	4	1	1	2	1	2	6.25	-166.375
18	4	1	1	2	0	2	31.25	-280.045454545455
21	4	1	1	2	1	2	25	-167.916666666667
23	4	1	1	2	0	1	16.6666666666667	79.5999999999999
24	4	1	1	2	1	2	6.25	-263.916666666667
25	4	1	1	2	0	2	12.5	-251.160714285714
27	4	1	1	2	1	2	6.25	-212.75
29	4	1	1	2	0	1	0	-221.0625
30	4	1	1	2	0	2	25	-99.3333333333333
33	4	1	1	2	1	1	12.5	-121.339285714286
35	4	1	1	2	0	2	30.7692307692308	14.8222222222221
38	4	1	1	2	1	1	0	-243.3125
40	4	1	1	2	1	1	-6.25	-199.866666666667
41	4	1	1	2	1	2	26.6666666666667	-118.943181818182
43	4	1	1	2	0	2	0	-224.5
44	4	1	1	2	1	2	0	-346
45	4	1	1	2	0	1	0	-146.5625
46	4	1	1	2	1	1	18.75	-412.201923076923
47	4	1	1	2	0	2	25	-233.208333333333
48	4	1	1	2	0	2	37.5	-159.089285714286
49	4	1	1	2	0	1	18.75	-228.125
50	4	1	1	2	0	2	33.3333333333333	-164
51	4	1	1	2	0	1	12.5	-385.642857142857
60	4	1	1	2	0	1	0	-204.875
61	4	1	1	2	1	1	33.3333333333333	-283.775
62	4	1	1	2	0	1	33.3333333333333	-75.7750000000001
